"arvore";"cap";"ht";"hi";"dicc";"espcasca"
1106;43,01;21,2;14,5;6,97;0,267
1106;43,01;21,2;15,7;6,68;0,252
1176;47;25,35;15,7;8,82;0,215
1176;47;25,35;16,9;7,96;0,223
1106;43,01;21,2;16,9;6,37;0,418
1176;47;25,35;18,1;7,38;0,197
1106;43,01;21,2;18,1;5,73;0,432
1176;47;25,35;19,3;6,53;0,199
1106;43,01;21,2;19,3;4,04;0,129
1106;43,01;21,2;20,5;1,27;0,118
1176;47;25,35;20,5;5,79;0,205
1176;47;25,35;21,7;4,87;0,23
1176;47;25,35;22,9;3,76;0,17
1176;47;25,35;24,1;2,07;0,116
1176;47;25,35;24,8;0,95;0,078
1177;42,79;23,1;0,1;16,23;0,715
1107;37,79;19,9;0,1;14,55;1,207
1107;37,79;19,9;0,7;12,41;0,567
1177;42,79;23,1;0,7;14,32;0,525
1177;42,79;23,1;1,3;13,62;0,521
1107;37,79;19,9;1,3;12,03;0,638
1177;42,79;23,1;2,5;13,15;0,379
1107;37,79;19,9;2,5;11,52;0,441
1107;37,79;19,9;3,7;10,98;0,341
1177;42,79;23,1;3,7;12,25;0,268
1177;42,79;23,1;4,9;12;0,266
1107;37,79;19,9;4,9;10,03;0,349
1107;37,79;19,9;6,1;9,68;0,343
1177;42,79;23,1;6,1;11,78;0,243
1107;37,79;19,9;7,3;9,07;0,33
1177;42,79;23,1;7,3;11,05;0,216
1177;42,79;23,1;8,5;10,5;0,222
1107;37,79;19,9;8,5;8,66;0,33
1107;37,79;19,9;9,7;7,96;0,257
1177;42,79;23,1;9,7;9,93;0,231
1177;42,79;23,1;10,9;9,42;0,223
1107;37,79;19,9;10,9;7,48;0,248
1107;37,79;19,9;12,1;6,78;0,272
1177;42,79;23,1;12,1;8,98;0,206
1107;37,79;19,9;13,3;6,21;0,214
1177;42,79;23,1;13,3;8,28;0,178
1107;37,79;19,9;14,5;5,73;0,214
1177;42,79;23,1;14,5;8,12;0,197
1107;37,79;19,9;15,7;5,06;0,227
1177;42,79;23,1;15,7;7,45;0,193
1107;37,79;19,9;16,9;4,14;0,197
1177;42,79;23,1;16,9;6,43;0,187
1107;37,79;19,9;18,1;2,9;0,187
1177;42,79;23,1;18,1;5,79;0,196
1107;37,79;19,9;19,3;1,02;0,115
1177;42,79;23,1;19,3;4,87;0,183
1177;42,79;23,1;20,5;3,82;0,128
1177;42,79;23,1;21,7;2,74;0,079
1177;42,79;23,1;22,8;1,02;0,061
1178;37,51;20,9;0,1;15,47;0,999
1178;37,51;20,9;0,7;12,67;0,601
1178;37,51;20,9;1,3;11,94;0,424
1178;37,51;20,9;2,5;11,46;0,351
1178;37,51;20,9;3,7;11,14;0,347
1178;37,51;20,9;4,9;10,63;0,263
1178;37,51;20,9;6,1;10,35;0,272
1178;37,51;20,9;7,3;9,61;0,247
1178;37,51;20,9;8,5;9,29;0,262
1178;37,51;20,9;9,7;8,75;0,215
1178;37,51;20,9;10,9;7,96;0,197
1178;37,51;20,9;12,1;7,48;0,188
1178;37,51;20,9;13,3;7;0,196
1178;37,51;20,9;14,5;6,02;0,17
1178;37,51;20,9;15,7;5,63;0,224
1178;37,51;20,9;16,9;4,62;0,179
1178;37,51;20,9;18,1;3,95;0,13
1178;37,51;20,9;19,3;3,02;0,11
1178;37,51;20,9;20,5;0,8;0,084
1179;57,49;24,4;0,1;22,6;1,492
1179;57,49;24,4;0,7;20,18;0,918
1179;57,49;24,4;1,3;18,3;0,774
1179;57,49;24,4;2,5;17,51;0,478
1179;57,49;24,4;3,7;16,14;0,39
1179;57,49;24,4;4,9;15,72;0,39
1179;57,49;24,4;6,1;15,41;0,46
1179;57,49;24,4;7,3;14,64;0,413
1179;57,49;24,4;8,5;14,1;0,357
1179;57,49;24,4;9,7;13,85;0,344
1179;57,49;24,4;10,9;13,31;0,306
1179;57,49;24,4;12,1;12,1;0,287
1179;57,49;24,4;13,3;11,24;0,288
1179;57,49;24,4;14,5;10,25;0,274
1179;57,49;24,4;15,7;9,71;0,372
1179;57,49;24,4;16,9;9,33;0,342
1179;57,49;24,4;18,1;8,05;0,311
1179;57,49;24,4;19,3;7,19;0,253
1179;57,49;24,4;20,5;6,21;0,305
1179;57,49;24,4;21,7;4,65;0,226
1179;57,49;24,4;22,9;2,93;0,141
1179;57,49;24,4;23,9;0,95;0,09
1180;36;20,3;0,1;15,28;0,723
1110;56,3;25,1;0,1;22,06;1,518
1180;36;20,3;0,7;12,8;0,487
1110;56,3;25,1;0,7;18,75;1,02
1110;56,3;25,1;1,3;17,92;0,785
1180;36;20,3;1,3;11,46;0,375
1110;56,3;25,1;2,5;17,19;0,849
1180;36;20,3;2,5;11,14;0,283
1180;36;20,3;3,7;10,98;0,201
1110;56,3;25,1;3,7;16,81;0,588
1180;36;20,3;4,9;10,57;0,259
1110;56,3;25,1;4,9;15,76;0,535
1110;56,3;25,1;6,1;15,41;0,647
1180;36;20,3;6,1;9,93;0,195
1180;36;20,3;7,3;9,29;0,191
1110;56,3;25,1;7,3;14,9;0,482
1180;36;20,3;8,5;8,79;0,17
1110;56,3;25,1;8,5;14,32;0,454
1110;56,3;25,1;9,7;13,53;0,379
1180;36;20,3;9,7;8,5;0,225
1110;56,3;25,1;10,9;13,05;0,33
1180;36;20,3;10,9;7,83;0,178
1110;56,3;25,1;12,1;12,54;0,338
1180;36;20,3;12,1;7,38;0,152
1180;36;20,3;13,3;6,75;0,197
1110;56,3;25,1;13,3;11,94;0,336
1110;56,3;25,1;14,5;11,17;0,333
1180;36;20,3;14,5;6,11;0,198
1180;36;20,3;15,7;5,19;0,163
1110;56,3;25,1;15,7;10,5;0,312
1110;56,3;25,1;16,9;9,8;0,267
1180;36;20,3;16,9;4,52;0,167
1110;56,3;25,1;18,1;9,17;0,276
1180;36;20,3;18,1;3,6;0,143
1110;56,3;25,1;19,3;7,83;0,274
1180;36;20,3;19,3;1,27;0,083
1110;56,3;25,1;20,5;6,88;0,26
1110;56,3;25,1;21,7;5,38;0,225
1110;56,3;25,1;22,9;3,95;0,213
1110;56,3;25,1;24,1;1,75;0,111
1110;56,3;25,1;24,6;0,73;0,073
1111;53;25,5;0,1;19,96;1,189
1181;46,4;24,3;0,1;19,1;1,045
1111;53;25,5;0,7;17,67;0,989
1181;46,4;24,3;0,7;15,28;0,652
1111;53;25,5;1,3;16,87;0,788
1181;46,4;24,3;1,3;14,77;0,566
1111;53;25,5;2,5;16,23;0,703
1181;46,4;24,3;2,5;14,07;0,481
1181;46,4;24,3;3,7;13,5;0,347
1111;53;25,5;3,7;15,98;0,724
1111;53;25,5;4,9;15,76;0,846
1181;46,4;24,3;4,9;13,05;0,464
1181;46,4;24,3;6,1;12,86;0,434
1111;53;25,5;6,1;14,93;0,498
1181;46,4;24,3;7,3;12,35;0,333
1111;53;25,5;7,3;14,48;0,491
1111;53;25,5;8,5;13,94;0,479
1181;46,4;24,3;8,5;11,62;0,244
1181;46,4;24,3;9,7;10,89;0,219
1111;53;25,5;9,7;13,31;0,506
1181;46,4;24,3;10,9;10,47;0,227
1111;53;25,5;10,9;12,41;0,342
1111;53;25,5;12,1;11,97;0,329
1181;46,4;24,3;12,1;10,28;0,184
1111;53;25,5;13,3;11,14;0,332
1181;46,4;24,3;13,3;9,1;0,241
1111;53;25,5;14,5;10,66;0,325
1181;46,4;24,3;14,5;8,4;0,18
1111;53;25,5;15,7;9,96;0,287
1181;46,4;24,3;15,7;7,86;0,17
1111;53;25,5;16,9;9,07;0,259
1181;46,4;24,3;16,9;7,42;0,213
1181;46,4;24,3;18,1;6,53;0,183
1111;53;25,5;18,1;8,09;0,232
1181;46,4;24,3;19,3;6,05;0,163
1111;53;25,5;19,3;7,45;0,222
1111;53;25,5;20,5;6,88;0,245
1181;46,4;24,3;20,5;4,93;0,174
1111;53;25,5;21,7;5,41;0,205
1181;46,4;24,3;21,7;4,14;0,161
1111;53;25,5;22,9;3,98;0,17
1181;46,4;24,3;22,9;2,48;0,105
1181;46,4;24,3;23,7;0,92;0,06
1111;53;25,5;24,1;2,1;0,13
1111;53;25,5;24,6;0,95;0,052
1182;35,5;21,4;0,1;12,73;0,616
1112;50,99;24,5;0,1;19,93;1,735
1182;35,5;21,4;0,7;11,84;0,556
1112;50,99;24,5;0,7;16,81;1,028
1112;50,99;24,5;1,3;16,23;1,238
1182;35,5;21,4;1,3;11,3;0,379
1112;50,99;24,5;2,5;15,72;0,735
1182;35,5;21,4;2,5;10,89;0,345
1112;50,99;24,5;3,7;15,44;0,629
1182;35,5;21,4;3,7;10,19;0,309
1182;35,5;21,4;4,9;9,87;0,32
1112;50,99;24,5;4,9;14,96;0,621
1182;35,5;21,4;6,1;9,61;0,236
1112;50,99;24,5;6,1;14,23;0,51
1182;35,5;21,4;7,3;9,2;0,197
1112;50,99;24,5;7,3;13,62;0,383
1112;50,99;24,5;8,5;12,86;0,403
1182;35,5;21,4;8,5;8,75;0,196
1112;50,99;24,5;9,7;12,38;0,368
1182;35,5;21,4;9,7;8,12;0,16
1112;50,99;24,5;10,9;11,87;0,412
1182;35,5;21,4;10,9;7,73;0,164
1112;50,99;24,5;12,1;10,98;0,27
1182;35,5;21,4;12,1;7,23;0,16
1182;35,5;21,4;13,3;6,68;0,163
1112;50,99;24,5;13,3;10,03;0,245
1182;35,5;21,4;14,5;6,33;0,157
1112;50,99;24,5;14,5;9,49;0,295
1182;35,5;21,4;15,7;5,67;0,151
1112;50,99;24,5;15,7;8,91;0,287
1182;35,5;21,4;16,9;5;0,159
1112;50,99;24,5;16,9;8,37;0,241
1112;50,99;24,5;18,1;7,32;0,246
1182;35,5;21,4;18,1;4,17;0,129
1112;50,99;24,5;19,3;6,56;0,221
1182;35,5;21,4;19,3;3,82;0,143
1112;50,99;24,5;20,5;5,51;0,226
1182;35,5;21,4;20,5;1,78;0,093
1182;35,5;21,4;20,9;0,99;0,071
1112;50,99;24,5;21,7;4,49;0,221
1112;50,99;24,5;22,9;2,86;0,128
1112;50,99;24,5;24;0,89;0,063
1183;55,39;26,1;0,1;20,37;1,19
1113;48;21,4;0,1;18,78;1,386
1183;55,39;26,1;0,7;17,92;0,889
1113;48;21,4;0,7;15,76;0,962
1113;48;21,4;1,3;15,28;0,716
1183;55,39;26,1;1,3;17,63;0,932
1113;48;21,4;2,5;14,74;0,64
1183;55,39;26,1;2,5;16,74;0,599
1113;48;21,4;3,7;14,01;0,567
1183;55,39;26,1;3,7;15,92;0,695
1183;55,39;26,1;4,9;15,79;0,498
1113;48;21,4;4,9;13,15;0,5
1183;55,39;26,1;6,1;15,02;0,657
1113;48;21,4;6,1;12,29;0,444
1113;48;21,4;7,3;11,78;0,405
1183;55,39;26,1;7,3;14,36;0,416
1113;48;21,4;8,5;11,36;0,386
1183;55,39;26,1;8,5;13,94;0,384
1113;48;21,4;9,7;10,6;0,328
1183;55,39;26,1;9,7;13,11;0,355
1183;55,39;26,1;10,9;12,35;0,377
1113;48;21,4;10,9;10,03;0,315
1113;48;21,4;12,1;9,23;0,303
1183;55,39;26,1;12,1;11,78;0,348
1113;48;21,4;13,3;8,5;0,301
1183;55,39;26,1;13,3;11,65;0,354
1183;55,39;26,1;14,5;11,33;0,3
1113;48;21,4;14,5;8,18;0,318
1183;55,39;26,1;15,7;10,73;0,293
1113;48;21,4;15,7;7,51;0,353
1113;48;21,4;16,9;7,26;0,41
1183;55,39;26,1;16,9;10,03;0,315
1183;55,39;26,1;18,1;9,14;0,302
1113;48;21,4;18,1;6,53;0,365
1113;48;21,4;19,3;4,27;0,215
1183;55,39;26,1;19,3;8,34;0,319
1113;48;21,4;20,5;1,91;0,192
1183;55,39;26,1;20,5;7,32;0,267
1113;48;21,4;20,9;1,05;0,092
1183;55,39;26,1;21,7;5,98;0,24
1183;55,39;26,1;22,9;4,77;0,256
1183;55,39;26,1;24,1;3,28;0,169
1183;55,39;26,1;25,3;1,53;0,095
1114;45,8;21,9;0,1;18,3;1,219
1114;45,8;21,9;0,7;15,25;0,782
1114;45,8;21,9;1,3;14,58;0,729
1114;45,8;21,9;2,5;13,94;0,599
1114;45,8;21,9;3,7;13,46;0,57
1114;45,8;21,9;4,9;12,83;0,352
1114;45,8;21,9;6,1;12,22;0,336
1114;45,8;21,9;7,3;11,78;0,312
1114;45,8;21,9;8,5;11,08;0,336
1114;45,8;21,9;9,7;10,5;0,281
1114;45,8;21,9;10,9;10,03;0,268
1114;45,8;21,9;12,1;9,33;0,239
1114;45,8;21,9;13,3;8,66;0,238
1114;45,8;21,9;14,5;8,02;0,252
1114;45,8;21,9;15,7;7,13;0,219
1114;45,8;21,9;16,9;6,78;0,207
1114;45,8;21,9;18,1;5,98;0,205
1114;45,8;21,9;19,3;4,14;0,179
1114;45,8;21,9;20,5;2,8;0,115
1114;45,8;21,9;21,5;0,76;0,075
1185;36,51;21,9;0,1;13,08;0,561
1185;36,51;21,9;0,7;12;0,467
1185;36,51;21,9;1,3;11,62;0,443
1185;36,51;21,9;2,5;11,3;0,332
1185;36,51;21,9;3,7;10,92;0,288
1185;36,51;21,9;4,9;10,31;0,244
1185;36,51;21,9;6,1;9,93;0,214
1185;36,51;21,9;7,3;9,68;0,22
1185;36,51;21,9;8,5;9,04;0,187
1185;36,51;21,9;9,7;8,53;0,172
1185;36,51;21,9;10,9;8,21;0,179
1185;36,51;21,9;12,1;7,77;0,17
1185;36,51;21,9;13,3;7,13;0,176
1185;36,51;21,9;14,5;6,46;0,151
1185;36,51;21,9;15,7;6,02;0,154
1185;36,51;21,9;16,9;5,47;0,159
1185;36,51;21,9;18,1;4,62;0,136
1185;36,51;21,9;19,3;3,66;0,145
1185;36,51;21,9;20,5;2,55;0,126
1185;36,51;21,9;21,3;0,92;0,056
1116;41,81;23,25;0,1;16,74;1,431
1186;26,01;17,7;0,1;10,35;0,444
1116;41,81;23,25;0,7;13,88;0,816
1186;26,01;17,7;0,7;8,59;0,391
1186;26,01;17,7;1,3;8,28;0,324
1116;41,81;23,25;1,3;13,31;0,652
1116;41,81;23,25;2,5;12,83;0,519
1186;26,01;17,7;2,5;8,05;0,3
1116;41,81;23,25;3,7;12,64;0,581
1186;26,01;17,7;3,7;7,8;0,191
1186;26,01;17,7;4,9;7,48;0,219
1116;41,81;23,25;4,9;12,13;0,44
1116;41,81;23,25;6,1;11,55;0,438
1186;26,01;17,7;6,1;7,32;0,203
1186;26,01;17,7;7,3;6,62;0,2
1116;41,81;23,25;7,3;11,01;0,331
1186;26,01;17,7;8,5;6,14;0,161
1116;41,81;23,25;8,5;10,57;0,312
1186;26,01;17,7;9,7;5,7;0,163
1116;41,81;23,25;9,7;10,03;0,33
1116;41,81;23,25;10,9;9,42;0,278
1186;26,01;17,7;10,9;5,19;0,143
1186;26,01;17,7;12,1;4,65;0,148
1116;41,81;23,25;12,1;8,69;0,247
1186;26,01;17,7;13,3;4,23;0,147
1116;41,81;23,25;13,3;8,02;0,224
1116;41,81;23,25;14,5;7,7;0,255
1186;26,01;17,7;14,5;3,63;0,135
1116;41,81;23,25;15,7;6,84;0,215
1186;26,01;17,7;15,7;2,86;0,144
1186;26,01;17,7;16,9;1,27;0,099
1116;41,81;23,25;16,9;6,43;0,208
1116;41,81;23,25;18,1;5,57;0,199
1116;41,81;23,25;19,3;4,77;0,152
1116;41,81;23,25;20,5;3,66;0,163
1116;41,81;23,25;21,7;2,45;0,131
1116;41,81;23,25;22,8;0,99;0,086
1187;31,01;19,33;0,1;12,1;0,603
1187;31,01;19,33;0,7;10,25;0,373
1187;31,01;19,33;1,3;9,87;0,34
1187;31,01;19,33;2,5;9,55;0,35
1187;31,01;19,33;3,7;9,29;0,244
1187;31,01;19,33;4,9;8,66;0,211
1187;31,01;19,33;6,1;8,37;0,193
1187;31,01;19,33;7,3;7,64;0,207
1187;31,01;19,33;8,5;7,07;0,166
1187;31,01;19,33;9,7;6,56;0,164
1187;31,01;19,33;10,9;6,27;0,193
1187;31,01;19,33;12,1;5,63;0,153
1187;31,01;19,33;13,3;4,93;0,144
1187;31,01;19,33;14,5;4,3;0,137
1187;31,01;19,33;15,7;3,88;0,155
1187;31,01;19,33;16,9;3,15;0,119
1187;31,01;19,33;18,1;1,91;0,123
1187;31,01;19,33;18,7;0,95;0,072
1118;59,5;28;0,1;21,65;1,14
1188;52,31;25,3;0,1;19,03;0,928
1188;52,31;25,3;0,7;17,38;0,738
1118;59,5;28;0,7;19,42;0,942
1188;52,31;25,3;1,3;16,65;0,684
1118;59,5;28;1,3;18,94;0,873
1188;52,31;25,3;2,5;16,01;0,525
1118;59,5;28;2,5;18,37;0,688
1118;59,5;28;3,7;18,14;0,789
1188;52,31;25,3;3,7;15,34;0,328
1118;59,5;28;4,9;17,25;0,663
1188;52,31;25,3;4,9;14,96;0,348
1188;52,31;25,3;6,1;14,71;0,382
1118;59,5;28;6,1;16,84;0,491
1118;59,5;28;7,3;16,23;0,467
1188;52,31;25,3;7,3;13,37;0,297
1188;52,31;25,3;8,5;12,51;0,283
1118;59,5;28;8,5;15,92;0,414
1188;52,31;25,3;9,7;11,4;0,25
1118;59,5;28;9,7;15,28;0,438
1118;59,5;28;10,9;14,64;0,422
1188;52,31;25,3;10,9;10,73;0,285
1118;59,5;28;12,1;14,29;0,378
1188;52,31;25,3;12,1;10,25;0,315
1188;52,31;25,3;13,3;9,61;0,284
1118;59,5;28;13,3;13,66;0,373
1188;52,31;25,3;14,5;9,39;0,274
1118;59,5;28;14,5;12,51;0,38
1118;59,5;28;15,7;11,75;0,385
1188;52,31;25,3;15,7;8,66;0,272
1118;59,5;28;16,9;10,92;0,353
1188;52,31;25,3;16,9;8,09;0,288
1188;52,31;25,3;18,1;7,42;0,28
1118;59,5;28;18,1;10,35;0,366
1188;52,31;25,3;19,3;7,1;0,277
1118;59,5;28;19,3;9,49;0,336
1188;52,31;25,3;20,5;6,14;0,252
1118;59,5;28;20,5;8,79;0,332
1188;52,31;25,3;21,7;5,41;0,311
1118;59,5;28;21,7;7,96;0,24
1118;59,5;28;22,9;6,59;0,256
1188;52,31;25,3;22,9;4,14;0,217
1118;59,5;28;24,1;5,41;0,244
1188;52,31;25,3;24,1;2,23;0,132
1188;52,31;25,3;24,8;0,99;0,078
1118;59,5;28;25,3;4,46;0,217
1118;59,5;28;26,5;1,85;0,1
1118;59,5;28;27,7;0,8;0,07
1189;64,31;27,85;0,1;23,55;1,083
1119;55,2;25,6;0,1;19,67;0,946
1189;64,31;27,85;0,7;21,01;0,957
1119;55,2;25,6;0,7;18,46;0,962
1189;64,31;27,85;1,3;20,47;0,888
1119;55,2;25,6;1,3;17,57;0,875
1119;55,2;25,6;2,5;17,35;0,757
1189;64,31;27,85;2,5;19,26;0,786
1119;55,2;25,6;3,7;17,03;0,58
1189;64,31;27,85;3,7;19,1;0,805
1119;55,2;25,6;4,9;16,71;0,418
1189;64,31;27,85;4,9;18,72;0,767
1119;55,2;25,6;6,1;15,76;0,429
1189;64,31;27,85;6,1;18,14;0,411
1189;64,31;27,85;7,3;17,35;0,49
1119;55,2;25,6;7,3;14,96;0,377
1119;55,2;25,6;8,5;14,23;0,379
1189;64,31;27,85;8,5;16,55;0,406
1189;64,31;27,85;9,7;16,23;0,417
1119;55,2;25,6;9,7;13,62;0,34
1119;55,2;25,6;10,9;12,86;0,334
1189;64,31;27,85;10,9;15,06;0,4
1189;64,31;27,85;12,1;14,77;0,355
1119;55,2;25,6;12,1;12,57;0,318
1119;55,2;25,6;13,3;12,1;0,301
1189;64,31;27,85;13,3;14,29;0,391
1119;55,2;25,6;14,5;10,98;0,321
1189;64,31;27,85;14,5;12,89;0,334
1119;55,2;25,6;15,7;10,44;0,305
1189;64,31;27,85;15,7;12,16;0,385
1119;55,2;25,6;16,9;9,8;0,35
1189;64,31;27,85;16,9;11,78;0,345
1189;64,31;27,85;18,1;10,82;0,325
1119;55,2;25,6;18,1;9,07;0,289
1189;64,31;27,85;19,3;9,77;0,387
1119;55,2;25,6;19,3;7,83;0,312
1119;55,2;25,6;20,5;7,19;0,294
1189;64,31;27,85;20,5;8,63;0,318
1189;64,31;27,85;21,7;7,96;0,343
1119;55,2;25,6;21,7;5,89;0,283
1119;55,2;25,6;22,9;4,62;0,245
1189;64,31;27,85;22,9;7,16;0,331
1189;64,31;27,85;24,1;5,41;0,277
1119;55,2;25,6;24,1;2,58;0,182
1189;64,31;27,85;25,3;3,82;0,248
1119;55,2;25,6;25,3;1,02;0,101
1189;64,31;27,85;26,5;2,16;0,134
1189;64,31;27,85;27,35;0,95;0,08
1120;47,82;24,4;0,1;17,83;0,854
1190;34,49;22,53;0,1;13,91;0,71
1190;34,49;22,53;0,7;11,68;0,483
1120;47,82;24,4;0,7;15,47;1,009
1120;47,82;24,4;1,3;15,22;0,641
1190;34,49;22,53;1,3;10,98;0,421
1120;47,82;24,4;2,5;14,55;0,661
1190;34,49;22,53;2,5;10,66;0,354
1120;47,82;24,4;3,7;14,01;0,411
1190;34,49;22,53;3,7;10,25;0,301
1120;47,82;24,4;4,9;13,37;0,515
1190;34,49;22,53;4,9;9,77;0,238
1120;47,82;24,4;6,1;12,96;0,383
1190;34,49;22,53;6,1;9,64;0,266
1120;47,82;24,4;7,3;12,73;0,365
1190;34,49;22,53;7,3;9,14;0,239
1190;34,49;22,53;8,5;8,82;0,215
1120;47,82;24,4;8,5;11,87;0,326
1190;34,49;22,53;9,7;8,18;0,187
1120;47,82;24,4;9,7;11,46;0,346
1120;47,82;24,4;10,9;10,73;0,282
1190;34,49;22,53;10,9;7,73;0,206
1190;34,49;22,53;12,1;7,32;0,181
1120;47,82;24,4;12,1;10,09;0,284
1120;47,82;24,4;13,3;9,58;0,282
1190;34,49;22,53;13,3;7;0,167
1120;47,82;24,4;14,5;8,91;0,274
1190;34,49;22,53;14,5;6,24;0,174
1190;34,49;22,53;15,7;5,73;0,186
1120;47,82;24,4;15,7;8,21;0,257
1190;34,49;22,53;16,9;5,09;0,151
1120;47,82;24,4;16,9;7,48;0,255
1190;34,49;22,53;18,1;4,52;0,138
1120;47,82;24,4;18,1;6,81;0,269
1190;34,49;22,53;19,3;3,76;0,112
1120;47,82;24,4;19,3;6,14;0,284
1120;47,82;24,4;20,5;5,09;0,233
1190;34,49;22,53;20,5;3,18;0,109
1190;34,49;22,53;21,7;1,27;0,076
1120;47,82;24,4;21,7;4,07;0,232
1120;47,82;24,4;22,9;2,48;0,164
1120;47,82;24,4;24,1;0,95;0,1
1191;56,49;28,15;0,1;20,05;1,233
1121;53,5;25,3;0,1;18,84;1,13
1191;56,49;28,15;0,7;18,78;0,878
1121;53,5;25,3;0,7;17,38;1,076
1121;53,5;25,3;1,3;17,03;0,838
1191;56,49;28,15;1,3;17,98;0,711
1191;56,49;28,15;2,5;17,92;0,555
1121;53,5;25,3;2,5;16,39;0,753
1191;56,49;28,15;3,7;16,97;0,455
1121;53,5;25,3;3,7;16,07;0,688
1191;56,49;28,15;4,9;16,39;0,47
1121;53,5;25,3;4,9;15,47;0,516
1121;53,5;25,3;6,1;14,83;0,536
1191;56,49;28,15;6,1;15,92;0,483
1191;56,49;28,15;7,3;15,69;0,467
1121;53,5;25,3;7,3;14,16;0,426
1191;56,49;28,15;8,5;15,12;0,49
1121;53,5;25,3;8,5;13,4;0,409
